"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00053006","2018-08-25","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","  122",",,7","  200",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-08-26","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  322",",,7","  122",",,7","  206",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-27","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  156",",,7","  156",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-28","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  233",",,7","  100",",,7","  122",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-29","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","   89",",,7","  144",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-30","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  322",",,7","  111",",,7","  183",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-31","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  128",",,7","  156",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-09-01","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  294",",,7","  122",",,7","  139",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-02","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  261",",,7","  100",",,7","  150",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-03","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  278",",,7","  133",",,7","  133",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-04","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  283",",,7","   94",",,7","  161",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-09-05","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  206",",,7","  128",",,7","  133",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-06","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  233",",,7","  106",",,7","  139",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-09-07","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  250",",,7","  133",",,7","  144",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
"USC00053006","2018-09-08","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  261",",,7","  117",",,7","  183",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
"USC00053006","2018-09-09","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  311",",,7","   94",",,7","  150",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-09-10","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","   94",",,7","  144",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-11","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  339",",,7","   94",",,7","  144",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-09-12","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","   94",",,7","  133",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-13","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  344",",,7","   89",",,7","  144",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-14","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  328",",,7","   89",",,7","  156",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-15","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  333",",,7","   94",",,7","  167",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-09-16","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  339",",,7","  111",",,7","  178",",,7,2400",,,,,,,,,,,,,,,,
