"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292785","2018-07-08","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    8",",,7,1700","    0",",,7","    0",",,7","  311",",,7","  106",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-09","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   18",",,7,1700","    0",",,7","    0",",,7","  306",",,7","  100",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-10","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  283",",,7","  100",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-11","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  283",",,7","   83",",,7",,,,,,,,,"  206",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-12","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    3",",,7,1700","    0",",,7","    0",",,7","  278",",,7","  117",",,7",,,,,,,,,"  161",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-13","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   23",",,7,1700","    0",",,7","    0",",,7","  244",",,7","  139",",,7",,,,,,,,,"  167",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-14","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   51",",,7,1700","    0",",,7","    0",",,7","  261",",,7","  128",",,7",,,,,,,,,"  161",",,7,1700",,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-15","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   66",",,7,1700","    0",",,7","    0",",,7","  267",",,7","  122",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-16","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   64",",,7,1700","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,,,"  156",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-17","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   48",",,7,1700","    0",",,7","    0",",,7","  250",",,7","  122",",,7",,,,,,,,,"  178",",,7,1700",,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-18","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   53",",,7,1700","    0",",,7","    0",",,7","  267",",,7","  128",",,7",,,,,,,,,"  189",",,7,1700",,,"    1",",,7",,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-19","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  283",",,7","  117",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-20","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  300",",,7","  144",",,7",,,,,,,,,"  183",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-21","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","  145",",,7,1700","    0",",,7","    0",",,7","  289",",,7","  122",",,7",,,,,,,,,"  211",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-22","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  322",",,7","  128",",,7",,,,,,,,,"  217",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-23","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  317",",,7","  122",",,7",,,,,,,,,"  239",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-24","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","   20",",,7,1700","    0",",,7","    0",",,7","  333",",,7","  167",",,7",,,,,,,,,"  217",",,7,1700",,,"    1",",,7",,,,,,,,,,,,,,,,,,
