"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023162","2018-04-02","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  217",",,7","   44",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-03","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  194",",,7","  -83",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-04","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  144",",,7","  -44",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-05","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  200",",,7","  -11",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-06","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  206",",,7","   78",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-07","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  206",",,7","   61",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-08","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  200",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-09","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  161",",,7","  -11",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-10","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  194",",,7","  -22",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-11","39.33741","-112.58571","1411.2","DELTA, UT US","    0",",,7,1700","    0",",,7,1700","    0",",,7,1700","  250",",,7","   72",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023162","2018-04-12","39.33741","-112.58571","1411.2","DELTA, UT US","    0","T,,7,1700","    0",",,7,1700","    0",",,7,1700","  267",",,7","   56",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
